Topic,Mnemonic,Full_Expansion,Explanation,Clinical_Application,Study_Level
Asthma Management Steps,SABA LAMA MART ICS,Step 1: SABA prn; Step 2: Low-dose ICS; Step 3: LABA+ICS; Step 4: MART; Step 5: High ICS + refer,Remembering the stepwise approach to asthma treatment according to guidelines,Essential for asthma management and exam questions,2nd Year
Beta-Blocker Side Effects,BBBB,Bradycardia; Bronchospasm; Blood sugar masked; Bad dreams,Four main side effects of beta-blockers that are commonly tested,Patient counseling and contraindications screening,2nd Year
ACE Inhibitor Side Effects,CAPTOPRIL,Cough (dry); Angioedema; Potassium increase; Teratogenic; Orthostatic hypotension; Proteinuria; Rash; Increased creatinine; Low BP,Complete side effect profile using the drug name as mnemonic,Counseling patients starting ACE inhibitors; Monitoring parameters,2nd-3rd Year
Warfarin Interactions (Increase INR),SICKFACES.COM,Sulfonamides; Isoniazid; Cimetidine; Ketoconazole; Fluconazole; Alcohol (chronic); Ciprofloxacin; Erythromycin; Statins; Cotrimoxazole; Omeprazole; Metronidazole,Drugs that enhance warfarin effect and increase bleeding risk,Critical for warfarin management and drug interaction checking,3rd Year
Opioid Overdose Triad,P.I.C,Pinpoint pupils; Impaired consciousness; Chronic (respiratory) depression,Classic presentation of opioid toxicity,Emergency recognition and naloxone administration,2nd Year
Causes of Hypokalemia,DIRE,Diuretics (loop and thiazide); Insulin; Refeeding syndrome; Excessive GI losses,Common causes of low potassium requiring monitoring,When to monitor potassium levels in patients,2nd Year
Digoxin Toxicity Signs,NAVEL,Nausea; Anorexia; Vision changes (yellow-green); ECG changes; Lethargy,Signs that digoxin levels may be toxic,When to check digoxin levels and hold doses,3rd Year
P450 Inducers (Decrease drug levels),PC BRAS,Phenytoin; Carbamazepine; Barbiturates; Rifampicin; Alcohol (chronic); St. John's Wort,Drugs that speed up metabolism of other drugs,Understanding why some drugs become less effective,3rd Year
P450 Inhibitors (Increase drug levels),SICKFACES,Sodium valproate; Isoniazid; Cimetidine; Ketoconazole; Fluconazole; Alcohol (acute); Chloramphenicol; Erythromycin; Sulfonamides,Drugs that slow metabolism and increase other drug levels,Predicting drug interactions and toxicity,3rd Year
Drugs Causing Constipation,CIAO,Calcium; Iron; Anticholinergics; Opioids,Common medications that slow bowel movements,Counseling patients and recommending prevention,2nd Year
Nephrotoxic Drugs,ACGT,Aminoglycosides; Cisplatin; Gentamicin; Tacrolimus (also NSAIDs),Drugs requiring renal function monitoring,When to check creatinine and adjust doses,3rd Year
Ototoxic Drugs,A Few Loops,Aminoglycosides; Furosemide (and loop diuretics),Drugs that can damage hearing,Warning patients about tinnitus and hearing loss,2nd Year
Drugs Causing Gingival Hyperplasia,3 Ps,Phenytoin; Ciclosporin (immuPnosuppressant); Calcium channel blockers (Pins),Three main drug classes causing gum overgrowth,Counseling on dental hygiene and monitoring,3rd Year
Selective Serotonin Reuptake Inhibitors,Friendly Pharmacists Can't Eat Carrots Persistently Slow,Fluoxetine; Paroxetine; Citalopram; Escitalopram; Sertraline,Common SSRIs for depression and anxiety,Recognizing SSRI names and class,2nd Year
Causes of Hyperkalemia,DRIPS,Drugs (ACEi ARBs spironolactone); Renal failure; Increased intake; Potassium-sparing diuretics; Specimen hemolysis,Common causes of elevated potassium (dangerous!),Emergency recognition and management,2nd Year
Drugs Safe in Pregnancy Category A,SPIT,Some antibiotics (Penicillins); Paracetamol; Insulin; Thyroid hormones (levothyroxine),Commonly used safe drugs in pregnancy,Counseling pregnant women,2nd Year
H2 Receptor Antagonists,CRFN,Cimetidine; Ranitidine; Famotidine; Nizatidine,All H2 blockers end in -tidine (except cimetidine),Drug class recognition,1st-2nd Year
Proton Pump Inhibitors,PROTON,Pantoprazole; Rabeprazole; Omeprazole; (E)someprazole; Lansoprazole,All PPIs end in -prazole,Drug class recognition,1st-2nd Year
Fibric Acid Derivatives,GEMINI ClOFiBRATE,Gemfibrozil; Clofibrate; Fenofibrate; Bezafibrate,Fibrates end in -fibrate; used for triglycerides,Lipid management drugs,3rd Year
Statins (HMG-CoA Reductase Inhibitors),STATINS LOVE At night,Simvastatin; Atorvastatin; Lovastatin (all end in -statin); Take at night when cholesterol synthesis highest,Recognition and timing of administration,2nd Year
Antihistamine Generations,First = Sleepy; Second = Study,1st generation (chlorpheniramine diphenhydramine) cause drowsiness; 2nd generation (loratadine cetirizine) less sedating,Choosing appropriate antihistamine based on patient needs,Patient counseling on side effects,2nd Year
Penicillin Allergy Cross-Reactivity,Cousin Cephalosporins Can Cross,5-10% cross-reactivity between penicillins and cephalosporins,Assessing allergy severity before prescribing cephalosporins,Medication safety screening,2nd Year
Tetracycline Side Effects and Contraindications,TEETH and Tan,Teeth discoloration (children <8); Esophagitis; Photosensitivity (tan/sunburn),Major contraindication in children and pregnancy,Drug safety counseling,2nd Year
Sulfonamide Allergy Cross-Reactions,SULFA Family,Sulfonamides; Sulfonylureas; Furosemide; Thiazides (all contain sulfa moiety),Checking for sulfa allergy with multiple drug classes,Allergy screening before dispensing,2nd-3rd Year
Narrow Therapeutic Index Drugs,W.L.D.P.T,Warfarin; Lithium; Digoxin; Phenytoin; Theophylline,Drugs requiring close monitoring due to toxicity risk,Identifying high-risk medications for monitoring,3rd Year
