Test_Name,Normal_Range,Unit,Low_Value_Indicates,High_Value_Indicates,Drugs_That_Cause_Low,Drugs_That_Cause_High,Monitoring_Frequency,Critical_Value_Low,Critical_Value_High
HbA1c,"4.0-5.6% (normal), <7% (diabetic target)",%,Good glycemic control (or hypoglycemia if <4%),Poor diabetes control and high risk of complications,Antidiabetic drugs (if excessive),Corticosteroids,Every 3-6 months for diabetics,<4%,>10%
Creatinine (Serum),"M: 62-106 µmol/L, F: 44-80 µmol/L",µmol/L,Muscle wasting (rare); Low muscle mass,Kidney dysfunction; Dehydration,Rarely caused by drugs,"NSAIDs, ACE-I (functional increase), Trimethoprim",Baseline + if on nephrotoxic drugs,<30,>400
eGFR,>90 mL/min/1.73m²,mL/min/1.73m²,Kidney disease (stages 3-5),Normal kidney function (hyperfiltration possible in early diabetes),N/A,N/A,Annually if >60; more frequently if <60,N/A,<15 (ESRD)
ALT (Liver enzyme),7-56 U/L,U/L,Rare (vitamin B6 deficiency),Liver damage or inflammation,"Rarely (severe malnutrition)","Statins, Paracetamol (overdose), Isoniazid, Methotrexate",Baseline + 3 months if on hepatotoxic drugs,<5,>200
AST (Liver enzyme),10-40 U/L,U/L,Rarely significant,Liver damage; Also elevated in heart or muscle damage,"Rarely (severe malnutrition)","Same as ALT, also alcohol",With ALT for liver monitoring,<5,>200
TSH,0.4-4.0 mIU/L,mIU/L,Hyperthyroidism (overactive thyroid),Hypothyroidism (underactive thyroid),Levothyroxine (excess dose),Insufficient levothyroxine replacement,Every 6-12 weeks until stable; then annually,<0.1,>10
Free T4,9-19 pmol/L,pmol/L,Hypothyroidism,Hyperthyroidism,Insufficient levothyroxine,Levothyroxine overdose; Amiodarone,When TSH abnormal,<5,>50
INR,0.9-1.1 (normal); 2.0-3.0 (warfarin target for most); 2.5-3.5 (mechanical valves),Ratio,Low anticoagulation; Clotting risk; Vitamin K excess,Over-anticoagulated; Bleeding risk; Liver disease,Vitamin K supplementation,"Warfarin, Antibiotics (affecting gut flora), Drug interactions",Weekly initially; monthly when stable; immediately if dose change,<1.5 (on warfarin),>5.0
Potassium,3.5-5.0 mmol/L,mmol/L,Hypokalemia (arrhythmia risk; muscle weakness),"Hyperkalemia (cardiac arrest risk, arrhythmia)","Diuretics (furosemide, thiazides), Insulin, Salbutamol","ACE-I, ARBs, Spironolactone, Amiloride, Trimethoprim",Monitor if on RAAS blockers + diuretics,<2.5,>6.5
Sodium,135-145 mmol/L,mmol/L,Hyponatremia (confusion; seizures if severe),Hypernatremia (dehydration; confusion),"Diuretics, SSRIs, Carbamazepine (SIADH), Desmopressin",Dehydration; Excessive salt intake,If symptomatic or on high-risk drugs,<120,>160
Total Cholesterol,<5.2 mmol/L (optimal),mmol/L,Rare (malnutrition; hyperthyroidism),Cardiovascular disease risk,"Statins, Ezetimibe","High-fat diet, Hypothyroidism, Ciclosporin","Annually, 3 months after starting statin",N/A,>10 (familial)
LDL Cholesterol,<2.6 mmol/L (optimal); <1.8 (very high risk),mmol/L,Over-treatment (rarely clinically significant),High CVD risk,"Statins, Ezetimibe, PCSK9 inhibitors",Familial hypercholesterolemia; Diet,Same as total cholesterol,N/A,>6.0
HDL Cholesterol,">1.0 mmol/L (M), >1.3 mmol/L (F)",mmol/L,Low HDL (increased CVD risk),Protective against CVD,"Anabolic steroids, Beta-blockers","Moderate alcohol, Exercise, Statins (slight increase)",With lipid profile,<0.5,N/A (higher is better)
Triglycerides,<1.7 mmol/L (optimal),mmol/L,Rare (malnutrition),Pancreatitis risk if >10; CVD risk,"Fibrates, Fish oils",Alcohol; Poorly controlled diabetes; Thiazides,With lipid profile; More frequently if >5,N/A,>10 (pancreatitis risk)
Hemoglobin,"M: 130-180 g/L, F: 120-160 g/L",g/L,Anemia (fatigue; pallor; tachycardia),Polycythemia (increased viscosity),"Chronic disease, NSAIDs (GI bleeding), Chemotherapy","EPO therapy, COPD, Smoking",If symptomatic or on chemotherapy,<70,>200
White Blood Cell Count,4.0-11.0 x10^9/L,x10^9/L,Leukopenia (infection risk; immunosuppression),Leukocytosis (infection; inflammation; leukemia),"Chemotherapy, Clozapine, Carbimazole, Immunosuppressants",Corticosteroids; Infection; G-CSF,On chemotherapy or immunosuppressants,<1.0,>30
Platelets,150-400 x10^9/L,x10^9/L,Thrombocytopenia (bleeding risk),"Thrombocytosis (clotting risk, reactive)",Heparin (HIT); Chemotherapy; Valproate,Reactive (inflammation); Iron deficiency; Myeloproliferative,On heparin or chemotherapy,<50,>1000
Glucose (Fasting),3.9-5.6 mmol/L (normal); <7.0 (diabetic target),mmol/L,Hypoglycemia (confusion; sweating; seizures if severe),Hyperglycemia (diabetes; polyuria; polydipsia),"Insulin, Sulfonylureas, Excessive antidiabetics",Corticosteroids; Thiazides; Poor diabetes control,Regular if diabetic; fasting for diagnosis,<3.0,>20
Albumin,35-50 g/L,g/L,Malnutrition; Liver disease; Nephrotic syndrome,Dehydration (concentration),Rarely drug-induced,Rarely drug-induced,Monitor in chronic disease,<20,N/A
Calcium (corrected),2.20-2.60 mmol/L,mmol/L,Hypocalcemia (muscle spasms; tetany; cardiac issues),Hypercalcemia (confusion; renal stones; constipation),"Bisphosphonates, Denosumab, Calcitonin","Vitamin D toxicity, Thiazides, Calcium supplements, Hyperparathyroidism",On bisphosphonates or vitamin D,<1.80,>3.00
