Condition,ICD10_Code,Common_Symptoms,First_Line_Drug_MY,Alternative_Drug,Counseling_Points,When_to_Refer
Hypertension (Uncomplicated),I10,"Often asymptomatic, headache, dizziness",Amlodipine 5mg OD,"Perindopril, Losartan","Lifestyle modification, low salt diet, monitor BP at home","BP >180/120, signs of organ damage"
Type 2 Diabetes (Newly diagnosed),E11,"Polyuria, polydipsia, fatigue, blurred vision",Metformin 500mg BD (start low),"Gliclazide, Sitagliptin","Diet control, exercise, monitor blood glucose, foot care","HbA1c >9%, symptoms of complications"
GERD,K21.9,"Heartburn, acid regurgitation, chest pain",Omeprazole 20mg OD ac,"Ranitidine, Pantoprazole","Avoid trigger foods, eat small meals, elevate head when sleeping","Persistent symptoms >2 weeks, difficulty swallowing"
Acute Bacterial Pharyngitis,J02.9,"Sore throat, fever, painful swallowing, swollen lymph nodes",Amoxicillin 500mg TDS x 7 days,Azithromycin (if penicillin allergy),"Complete full course, rest, warm salt water gargle","High fever >3 days, difficulty breathing, severe pain"
Allergic Rhinitis,J30.4,"Sneezing, runny nose, itchy eyes, nasal congestion",Loratadine 10mg OD / Cetirizine 10mg OD,Nasal corticosteroid spray,"Avoid allergens, possible drowsiness with cetirizine","Symptoms affecting daily life, suspected complications"
Acute Asthma (Mild),J45.0,"Wheezing, shortness of breath, chest tightness, cough",Salbutamol inhaler 2 puffs PRN,Add ICS if frequent attacks,"Proper inhaler technique, use spacer, avoid triggers","Unable to complete sentences, no improvement with inhaler"
UTI (Uncomplicated),N39.0,"Dysuria, frequency, urgency, lower abdominal pain",Nitrofurantoin 100mg BD x 5 days,"Trimethoprim, Cephalexin","Drink plenty of water, complete course, cranberry may help","Fever, back pain, blood in urine, male patient"
Migraine (Acute),G43,"Severe unilateral headache, nausea, photophobia, aura",Paracetamol 1g + Metoclopramide 10mg,"Ibuprofen, Sumatriptan (if severe)","Rest in dark quiet room, identify triggers, keep diary","Frequent attacks (>4/month), neurological symptoms"
Acute Diarrhea,A09,"Loose stools >3x/day, abdominal cramps, possible fever",ORS (Oral Rehydration Salts),Loperamide (if no fever/blood),"Rehydration most important, bland diet, hand hygiene","Severe dehydration, blood in stool, high fever, >3 days"
Insomnia (Short-term),G47.0,"Difficulty falling asleep, staying asleep, early waking",Sleep hygiene advice first,Zolpidem 10mg hs (max 2 weeks),"Avoid caffeine, screen time before bed, regular sleep schedule","Chronic insomnia >1 month, suspected sleep apnea"
Acute Conjunctivitis (Bacterial),H10.0,"Red eye, discharge, crusting, irritation",Chloramphenicol eye drops 0.5%,Fusidic acid eye drops,"Apply 2-hourly initially, avoid sharing towels, hand hygiene","No improvement in 48h, vision changes, severe pain"
Oral Thrush (Candidiasis),B37.0,"White patches in mouth, soreness, difficulty swallowing",Nystatin oral suspension 100000 units/mL QDS,Miconazole oral gel,"Swish and swallow after meals, clean dentures, maintain oral hygiene","Persistent >7 days, immunocompromised, spreading"
Acne Vulgaris (Mild to Moderate),L70.0,"Comedones, papules, pustules on face/back",Benzoyl peroxide 5% gel,Topical clindamycin or adapalene,"Apply to affected areas at night, may cause dryness, sun protection","Severe acne, scarring, not responding after 8 weeks"
Anxiety (Mild),F41.1,"Excessive worry, restlessness, fatigue, difficulty concentrating",Counseling and CBT first,"Sertraline 50mg OD (if medication needed)","Relaxation techniques, regular exercise, avoid caffeine","Severe anxiety, panic attacks, suicidal thoughts"
Osteoarthritis (Mild pain),M19.9,"Joint pain, stiffness (worse after rest), reduced mobility",Paracetamol 1g QDS regular,Topical NSAIDs or oral ibuprofen,"Weight loss if overweight, gentle exercise, heat/cold therapy","Severe pain affecting function, joint swelling, night pain"
Constipation (Chronic),K59.0,"<3 stools/week, hard stools, straining, incomplete evacuation",Increase fiber and fluids first,Lactulose 15mL BD or senna,"Increase water intake, regular exercise, establish routine","Red flag symptoms (weight loss blood rectal pain), >2 weeks"
Eczema (Atopic Dermatitis),L20.9,"Itchy, red, dry patches of skin, often flexural areas",Emollients (frequent application) + Hydrocortisone 1% cream,Stronger topical steroid (betamethasone),"Avoid triggers, regular moisturizing, short bursts of steroids only","Infected eczema, severe flare not responding, widespread"
Tension Headache,G44.2,"Bilateral pressing/tightening pain, no nausea, no aura",Paracetamol 1g or Ibuprofen 400mg,Combination with caffeine,"Stress management, adequate sleep, regular meals, hydration","Frequent headaches (>2/week), sudden severe headache, neurological signs"
Nausea and Vomiting (Non-specific),R11,"Nausea, vomiting, possible abdominal discomfort",Metoclopramide 10mg TDS or Domperidone 10mg TDS,Ondansetron (if severe),"Small frequent meals, avoid triggers, stay hydrated","Persistent >24h, signs of dehydration, abdominal pain, pregnancy"
Musculoskeletal Pain (Acute),M79.1,"Localized muscle/joint pain, tenderness, may have swelling",Paracetamol 1g QDS + Topical NSAID,Oral ibuprofen 400mg TDS,"RICE (Rest Ice Compression Elevation), avoid aggravating activities","Severe pain, trauma, joint swelling, restricted movement"
