Drug_ID,Generic_Name,Brand_Name_MY,Drug_Class,Primary_Use,Standard_Dosage_Adult,Common_Side_Effects,Contraindications,Storage,Price_Range_RM,Prescription_Required
001,Paracetamol,"Panadol, Uphamol","Analgesic, Antipyretic","Pain relief, Fever reduction","500-1000mg every 4-6 hours (Max 4g/day)","Nausea, Rash (rare), Liver toxicity (overdose)",Severe liver disease,"Room temperature, dry place",0.10 - 0.50 per tablet,No
002,Ibuprofen,"Brufen, Nurofen",NSAID,"Pain, Inflammation, Fever","200-400mg every 4-6 hours (Max 1.2g/day)","Stomach upset, Heartburn, Dizziness","Active peptic ulcer, Severe heart failure","Below 25°C, protect from light",0.30 - 0.80 per tablet,No
003,Amoxicillin,"Amoxil, Hiconcil",Antibiotic (Penicillin),Bacterial infections,250-500mg three times daily,"Diarrhea, Nausea, Skin rash",Penicillin allergy,"Room temperature, tightly closed",0.50 - 1.50 per capsule,Yes
004,Metformin,"Glucophage, Diabex",Antidiabetic (Biguanide),Type 2 Diabetes,500mg twice daily with meals (titrate up),"Diarrhea, Nausea, Metallic taste","Severe kidney disease, Metabolic acidosis","Room temperature, moisture-free",0.20 - 0.60 per tablet,Yes
005,Atorvastatin,"Lipitor, Atorva",Statin (Lipid-lowering),High cholesterol,10-80mg once daily at night,"Muscle pain, Headache, Constipation","Active liver disease, Pregnancy","Room temperature, protect from moisture",0.80 - 3.00 per tablet,Yes
006,Omeprazole,"Losec, Omez",Proton Pump Inhibitor,"GERD, Peptic ulcer",20-40mg once daily before meals,"Headache, Diarrhea, Abdominal pain",Hypersensitivity to PPIs,"Room temperature, protect from light",0.50 - 1.20 per capsule,No (for OTC strength)
007,Salbutamol,"Ventolin, Asthalin",Bronchodilator,"Asthma, COPD","100-200mcg (1-2 puffs) as needed","Tremor, Tachycardia, Headache","Hypersensitivity, Tachyarrhythmia","Below 30°C, protect from freezing",15.00 - 35.00 per inhaler,Yes
008,Cetirizine,"Zyrtec, Virlix",Antihistamine,"Allergic rhinitis, Urticaria",10mg once daily,"Drowsiness, Dry mouth, Fatigue",Severe kidney disease,"Room temperature, dry place",0.30 - 0.70 per tablet,No
009,Loratadine,"Clarityn, Lorano",Antihistamine (Non-sedating),"Allergic rhinitis, Hives",10mg once daily,"Headache, Dry mouth, Fatigue (less than cetirizine)",Severe liver disease,"Room temperature, protect from moisture",0.40 - 0.90 per tablet,No
010,Aspirin,"Cardiprin, Aspilets","Antiplatelet, NSAID","Cardiovascular protection, Pain","75-100mg once daily (cardio) / 300-600mg (pain)","Stomach bleeding, Bruising, Tinnitus","Active bleeding, Children with viral infection","Room temperature, tightly closed",0.05 - 0.30 per tablet,No (low dose)
011,Amlodipine,"Norvasc, Amlostin",Calcium Channel Blocker,"Hypertension, Angina",5-10mg once daily,"Ankle swelling, Flushing, Headache","Severe hypotension, Cardiogenic shock","Room temperature, protect from light",0.30 - 1.00 per tablet,Yes
012,Simvastatin,"Zocor, Simvador",Statin,High cholesterol,10-40mg once daily at night,"Muscle pain, Headache, Constipation","Active liver disease, Pregnancy","Room temperature, protect from moisture",0.40 - 1.20 per tablet,Yes
013,Ranitidine,"Zantac, Rantin",H2-Receptor Antagonist,"Peptic ulcer, GERD",150mg twice daily or 300mg at night,"Headache, Dizziness, Constipation",Hypersensitivity,"Room temperature, protect from light",0.30 - 0.80 per tablet,No
014,Diclofenac,"Voltaren, Voren",NSAID,"Pain, Inflammation",50mg three times daily or 75mg twice daily,"Stomach upset, Dizziness, Headache","Active peptic ulcer, Severe heart failure","Below 30°C, protect from light",0.40 - 1.00 per tablet,Yes
015,Metoclopramide,"Maxolon, Pramin","Antiemetic, Prokinetic","Nausea, Vomiting, GERD",10mg three times daily before meals,"Drowsiness, Restlessness, Diarrhea","GI obstruction, Parkinson's disease","Room temperature, protect from light",0.20 - 0.50 per tablet,Yes
